,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,remaining_filters
0,1.807948112487793,0.3984600007534027,3.3893871307373047,0.16210000216960907,274442,Ellipsis,16
1,1.4206560850143433,0.5405399799346924,2.5152318477630615,0.3005000054836273,274442,Ellipsis,16
2,1.2565022706985474,0.6032400131225586,1.7455531358718872,0.4717999994754791,274442,Ellipsis,16
3,1.1528605222702026,0.6443799734115601,1.5775021314620972,0.5295000076293945,274442,Ellipsis,16
4,1.0609005689620972,0.6739400029182434,1.4139752388000488,0.5929999947547913,274442,Ellipsis,16
5,0.987966001033783,0.7014399766921997,1.113532543182373,0.6610999703407288,274442,Ellipsis,16
6,0.9260185956954956,0.7238399982452393,1.257812738418579,0.6341999769210815,274442,Ellipsis,16
7,0.8713622093200684,0.7441200017929077,1.0690277814865112,0.679099977016449,274442,Ellipsis,16
8,0.8346614837646484,0.7562599778175354,1.0150189399719238,0.7044000029563904,274442,Ellipsis,16
9,0.7936816215515137,0.7709800004959106,0.9347435832023621,0.7353000044822693,274442,Ellipsis,16
